address ,Time of first entry,First entry amount,First entry amount
0x6d5ea1ab8fcfd8b768a4cec640882d45735e9510,2023-04-09 19:51:47.000 UTC,5.3E+16,0.053
0x6f1c95f0110b5f5b3bc2627a9bddc721d87ff433,2023-04-09 18:45:35.000 UTC,5.2289E+16,0.052289
0x71a5e96fef2dcb7555fcc76cb29fbdfec928576d,2023-04-09 11:47:47.000 UTC,5.2758E+16,0.052758
0x72bcc26906afcf55012c2c822945ebbd31cc81cc,2023-04-09 12:08:59.000 UTC,5.1814E+16,0.051814
0x767b52b33818b5e76a214eb89eb4bb34aaaef93c,2023-04-09 13:52:59.000 UTC,5.2559E+16,0.052559
0x76aa76853a895d345a8ae8dc26b986c1e58143ad,2023-04-09 20:10:47.000 UTC,5.0805E+16,0.050805
0x78174529ee66354bd0afc370bb47f6b7b1e883ca,2023-04-09 15:28:59.000 UTC,5.2321E+16,0.052321
0x786ee212b9d3bf41d9583dcc078f0af06f75973e,2023-04-09 15:18:35.000 UTC,5.2928E+16,0.052928
0x79f8759a5ed86bd101f9deec5cd60e77c2b226b3,2023-04-09 14:47:47.000 UTC,5.276E+16,0.05276
0x7c7850f5ad7cc0ca721417b4bf3f4316d8155c6d,2023-04-09 15:35:35.000 UTC,5.0618E+16,0.050618
0x7ca33d8747de77ba4be65deff7634a7743bdf6ca,2023-04-09 14:23:35.000 UTC,5.2651E+16,0.052651
0x7fa823c63de294ef257cc2ac05061f750e58bbcf,2023-04-09 15:53:59.000 UTC,5.1952E+16,0.051952
0x8106ba54e05bffaa5f6a1e53433ec0c412fb7c41,2023-04-09 20:31:23.000 UTC,5.1872E+16,0.051872
0x85430d135fb4fc3621f47183b4a7c1db904c7b06,2023-04-09 15:15:47.000 UTC,5.0065E+16,0.050065
0x8662613b6a5a11233ecdd8d2d958998674550f58,2023-04-09 18:26:59.000 UTC,5.2317E+16,0.052317
0x87283a328adb9baaaa9f848bdec6398132ece636,2023-04-09 16:50:35.000 UTC,5.1574E+16,0.051574
0x874b9e69df9446c7b14269698716897fc8740464,2023-04-09 15:19:59.000 UTC,5.219E+16,0.05219
0x885b9f30d698d470c58f8a1b27eb741c95a5476b,2023-04-09 14:11:35.000 UTC,5.2148E+16,0.052148
0x88a1dba1ad4fa846a37c862aa3f0200753081194,2023-04-09 18:53:35.000 UTC,5.0291E+16,0.050291
0x89dd3b13107226c21b6ac05ccd14fb6941a79b2a,2023-04-09 11:05:35.000 UTC,5.2253E+16,0.052253
0x8ba2aea44720f8d74bc24c82eebd6c54b4f0d9d3,2023-04-09 15:32:35.000 UTC,5.2437E+16,0.052437
0x8bc6cc4a31497ab9c3d36f48916408a0dd861d68,2023-04-09 14:37:35.000 UTC,5.0439E+16,0.050439
0x8d15c69caf378478ae6694227f54d8e24e1c8486,2023-04-09 20:13:35.000 UTC,5.283E+16,0.05283
0x8e8bed88b00e2d868471df41f3d397ae8e735074,2023-04-09 15:20:11.000 UTC,5.2725E+16,0.052725
0x8eb9245b5bce653580062cfe97ad83c59931c4d4,2023-04-09 18:17:47.000 UTC,5.2796E+16,0.052796
0x8ecd3e4ea4e174b685013e6cd0f406342afdb716,2023-04-09 14:34:11.000 UTC,5.0586E+16,0.050586
0x9049a50b28ad0318c7675429f15fcd32e7610cae,2023-04-09 19:33:11.000 UTC,5.1177E+16,0.051177
0x92726818d51655eff99e38bc502b5d475f54a977,2023-04-09 18:48:23.000 UTC,5.1081E+16,0.051081
0x996032f4858c6c67018feae492708776f555323c,2023-04-09 15:57:11.000 UTC,5.0567E+16,0.050567
0x9c05f56008d6d58f07603f54444b16ca09853c24,2023-04-09 14:46:59.000 UTC,5.267E+16,0.05267
0x9c1f7de26464778f53a43a5036f631754457ff4a,2023-04-09 19:44:59.000 UTC,5.1555E+16,0.051555
0x9f3574f12090e0d4458ea695af5df6f67859a6ea,2023-04-09 20:48:59.000 UTC,5.0446E+16,0.050446
0x9f7f3c38a5ec64bdff218dfa3fc1e013630a1878,2023-04-09 20:34:11.000 UTC,5.2239E+16,0.052239
0xa0cbaacd0b0bde74efbc38f4c8e1e7c17a6b0484,2023-04-09 14:04:59.000 UTC,5.2485E+16,0.052485
0xa279f168487a8b1226cd1a47d87e7f66dc28a3d4,2023-04-09 12:16:23.000 UTC,5.0422E+16,0.050422
0xa288360d65249ca9fc60af2032683eece1ea4a0f,2023-04-09 17:39:35.000 UTC,5.0571E+16,0.050571
0xa32a6a747c753065a62dbf7c1b18acb1e8cea919,2023-04-09 20:55:47.000 UTC,5.1246E+16,0.051246
0xa46a24867567321d3e199856a02d38c7f13c0f84,2023-04-09 20:39:11.000 UTC,5.1179E+16,0.051179
0xa47009c0e55ab3fc4fb9ba3c9512c3d68a11f75b,2023-04-09 20:15:11.000 UTC,5.2263E+16,0.052263
0xa4d80f65607c7740938d4652ec5f681b109ed90a,2023-04-09 14:08:35.000 UTC,5.0142E+16,0.050142
0xa6e1e8d2a9ccc910b7aec794098ae506e8a00919,2023-04-09 13:07:11.000 UTC,5.2385E+16,0.052385
0xa7b5995655fb62c09bcdc03ea7fbd9ce70a7d054,2023-04-09 15:38:47.000 UTC,5.2207E+16,0.052207
0xa90f185a0fcc2b9b50aec6631bf79d675089ee60,2023-04-09 15:37:23.000 UTC,5.2648E+16,0.052648
0xa9a65d2706b9f585111c1e72feba1ed4cff76ccb,2023-04-09 12:18:59.000 UTC,5.0921E+16,0.050921
0xae3bd30f97eefa32c7da340e357dea01fe783e36,2023-04-09 16:37:47.000 UTC,5.0079E+16,0.050079
0xaec308c60cb01ab1941346e6d6ea48881b91fb32,2023-04-09 15:04:11.000 UTC,5.0976E+16,0.050976
0xaf2b2c0beaf39d3568c5dab46999a13a060a4d81,2023-04-09 20:47:23.000 UTC,5.0829E+16,0.050829
0xb047d3dbfeef511e5df3ea6cdc28c7e947374875,2023-04-09 20:58:35.000 UTC,5.2834E+16,0.052834
0xb1528c43e61a38c067ed19d8941078fc85b716f3,2023-04-09 14:54:47.000 UTC,5.231E+16,0.05231
0xb15485d97e571baffba8dd44749efdf1ab0642e5,2023-04-09 23:58:59.000 UTC,5.1531E+16,0.051531
0xb1f17884e2a3cbc5cbec1b6a5bc5e787d8f4e8b2,2023-04-09 17:12:23.000 UTC,5.1549E+16,0.051549
0xb25955762663b542ea597bf2afcca1d319398944,2023-04-09 15:12:23.000 UTC,5.2121E+16,0.052121
0xb27a73940959ba0bec962541bbdb23d2280eb660,2023-04-09 14:20:59.000 UTC,5.2196E+16,0.052196
0xb2cffc8d2eca1370f874e2454aefc3933d6b568b,2023-04-09 15:03:11.000 UTC,5.0065E+16,0.050065
0xb34738dcf35e6cf97016c67261dd8eb19cf209cc,2023-04-09 20:21:47.000 UTC,5.18E+16,0.0518
0xb58518ed3c9c66953644885b68d466e4b4f0b822,2023-04-09 18:16:47.000 UTC,5.1532E+16,0.051532
0xb679cfb4c0fc82275c714a277c97068e9e89ed08,2023-04-09 20:58:59.000 UTC,5.0286E+16,0.050286
0xbb41b75866c2a3154323a98f0f65c95bc187c46e,2023-04-09 17:07:35.000 UTC,5.0877E+16,0.050877
0xbc33f0c365d38f8a67c3e3c44c2b556fc983b0c7,2023-04-09 14:46:59.000 UTC,5.1856E+16,0.051856
0xbc3d7e70ca347871733d74ee1ac585271c3efede,2023-04-09 16:56:11.000 UTC,5.1725E+16,0.051725
0xbc534c278b9e73fdf13927e93fdfa84d066a49a9,2023-04-09 16:24:35.000 UTC,5.0375E+16,0.050375
0xbca6c77910a82b43873cb81f7eb4b25b03c0dcea,2023-04-09 19:30:47.000 UTC,5.0935E+16,0.050935
0xbd84fdbe987f43ced2e9c514c37d48efffc9280d,2023-04-09 18:09:35.000 UTC,5.0473E+16,0.050473
0xbe10ffee4b23fd421fda5cb52ebbe9778d52abd1,2023-04-09 19:59:59.000 UTC,5.2499E+16,0.052499
0xbf04463551d55b472cbe49da51d7559e34160da9,2023-04-09 14:28:47.000 UTC,5.1404E+16,0.051404
0xbf6d63823cd48bfbdc46326ce272f8f8eee88aec,2023-04-09 17:53:23.000 UTC,5.0196E+16,0.050196
0xbf7f3d4d5fb50b54bd2b69c60984ea76113b36e0,2023-04-09 19:38:23.000 UTC,5.1625E+16,0.051625
0xc0bdc1bd7244291b3ce91bd40ebd860aa30a1aae,2023-04-09 14:17:59.000 UTC,5.1649E+16,0.051649
0xc1ab0e99c2fceaf02771ab69c8529cbfc6a8a2a6,2023-04-09 19:20:47.000 UTC,5.2225E+16,0.052225
0xc1ee413ad7c977472936fe35395fa6fde9666d79,2023-04-09 19:08:11.000 UTC,5.1652E+16,0.051652
0xc44cef1420b0b0e3f803b28b5deb335840cb1f17,2023-04-09 15:40:59.000 UTC,5.1192E+16,0.051192
0xc4552af64c035d253aea6bc0069f77bb0b3b37dd,2023-04-09 18:41:35.000 UTC,5.201E+16,0.05201
0xc706ca9070da23b5fcaacfbb573608f36a9706e0,2023-04-09 16:34:23.000 UTC,5.1329E+16,0.051329
0xc7438a8f3929f5456972bd411714489de7092db6,2023-04-09 15:48:59.000 UTC,5.2293E+16,0.052293
0xc77d74d6a72f4218cf1a219c9fc128b775541c3c,2023-04-09 19:17:35.000 UTC,5.0744E+16,0.050744
0xc7be4feb59bb1ef13cd2514234f2e2ba7d40e06c,2023-04-09 15:17:59.000 UTC,5.263E+16,0.05263
0xcb549e9cd0d2169341fe3197f8fb5b9a70ff27e1,2023-04-09 15:57:11.000 UTC,5.127E+16,0.05127
0xce9236c379bc1ec78bfb257b45d29f1b4eac8717,2023-04-09 19:38:47.000 UTC,5.1425E+16,0.051425
0xcef1b7a09cf60493a3d176161c4540e7dd518606,2023-04-09 20:57:59.000 UTC,5.0623E+16,0.050623
0xd0b43912e83b50a8226e8c140b2c548ed40ab264,2023-04-09 16:12:59.000 UTC,5.0138E+16,0.050138
0xd20862c89c4ca6ab8ca3712c1224fa73797444ef,2023-04-09 15:47:35.000 UTC,5.0385E+16,0.050385
0xd283f03612c451c8b19031cc591ad218f52b93ba,2023-04-09 16:45:59.000 UTC,5.2051E+16,0.052051
0xd2ffd44a405c8d48c809d853b389cf416ced31c9,2023-04-09 17:00:11.000 UTC,5.2061E+16,0.052061
0xd3e00c1f3858457c77316ed11675903cb99a8a69,2023-04-09 14:20:35.000 UTC,5.0631E+16,0.050631
0xd43aa1a2b6fb34b4818f910a45700ee6d5d1832d,2023-04-09 20:05:47.000 UTC,5.0159E+16,0.050159
0xd4e8451293b0e0c5b12f41071324ee562652e6c5,2023-04-09 16:28:23.000 UTC,5.2541E+16,0.052541
0xd57f0c8e1d7d60f0f0a95d914e0358c06adcbded,2023-04-09 20:26:59.000 UTC,5.2368E+16,0.052368
0xd7157bf7a28627b1536bd28db386394b521d377c,2023-04-09 14:15:35.000 UTC,5.0653E+16,0.050653
0xd715a42abb48082c155da45d7194e2338542d2bd,2023-04-09 15:57:35.000 UTC,5.2723E+16,0.052723
0xd7e8bc17a58f046c336d227a64c6cdfc0d939af0,2023-04-09 14:08:11.000 UTC,5.0638E+16,0.050638
0xd8a6829b0e7d20818b979ebc76cd46a52499920c,2023-04-09 16:14:11.000 UTC,5.0076E+16,0.050076
0xe0139e0d8437622b2c87d74cb3becce4c4f20ca3,2023-04-09 11:28:59.000 UTC,5.1693E+16,0.051693
0xe1eee2890caf04e9f0ee1ba13742e6a1de66c2a5,2023-04-09 15:27:35.000 UTC,5.0113E+16,0.050113
0xe2637d284eb581d3452cd204f4e910fea64d2687,2023-04-09 20:41:59.000 UTC,5.085E+16,0.05085
0xe30425fdd1ae0d805d7b9d8ea08bdcef67d5216b,2023-04-09 17:00:47.000 UTC,5.1827E+16,0.051827
0xe3f1da6925eccbb3d69614d2101bf9cf5511ccdb,2023-04-09 14:45:47.000 UTC,5.0532E+16,0.050532
0xe4b50c22d37cf885b68d1ab6fcc3b8682ab76f40,2023-04-09 18:06:11.000 UTC,5.1704E+16,0.051704
0xe582382458b846e6373e5d23911b1205bee18eb1,2023-04-09 20:27:59.000 UTC,5.2736E+16,0.052736
0xe60a2e36eb99e7a75c30b0f98f426730fbd737db,2023-04-09 18:49:11.000 UTC,5.2E+16,0.052
0xe6f501d9e7411519cf1c7c8fb485ed15d6c54380,2023-04-09 15:28:47.000 UTC,5.2395E+16,0.052395
0xe9f7f5fa2b7b5a02280713d076ac63320abd6adb,2023-04-09 15:31:47.000 UTC,5.0751E+16,0.050751
0xec4e0aa6c788620b46866116dfc487bc69d36a62,2023-04-09 16:24:59.000 UTC,5.2775E+16,0.052775
0xed228301d0ee4de611ee63843bca992dafc43a8a,2023-04-09 19:48:23.000 UTC,5.1478E+16,0.051478
0xedaf39c20a836d576d6bb2044d20a54027102991,2023-04-09 19:33:59.000 UTC,5.1067E+16,0.051067
0xee58eb688dbd703e6005a52a372c51284c985ef9,2023-04-09 19:20:59.000 UTC,5.249E+16,0.05249
0xef4c9f28784db0abfaa08e38eac8a34f37da9b5a,2023-04-09 14:48:11.000 UTC,5.0638E+16,0.050638
0xf0b505ea0ffd7cdb10bce2739d17d81165e6b3bd,2023-04-09 15:02:11.000 UTC,5.1331E+16,0.051331
0xf0e144b7ea4ff9c6c87625575d36db5faecb0eb8,2023-04-09 14:38:35.000 UTC,5.023E+16,0.05023
